task,method,seed,cost,success,strict_success,violation,reach_avoid,steps,training_interactions,online_model_predictions,evaluation_interactions,input_sha,checkpoint_sha,noise_std_action_range_fraction
stochastic_continuous_braking_car,SAC,8,13.373959066854974,0.9,0.9,0.1,0.9,1.05,100000,0,21,ede3999d1344a91c491a0e88886cd7a1c87a1e24a7a74d6859e9d74e39b7b07e,78d2bfc1f49ac00885ecce53be0920632f231b5591365aba4e7e27763c8dd4be,0.05
stochastic_pendulum_swing_up,SMoSE,8,40.224035245229054,0.95,0.95,0.0,0.95,48.85,100000,0,977,bfadc2470fb7d7154ecd95b0000e4b64a8d49c1b97382be748ba8b41a9efb677,dcc08ee66ad1fc9bcdc723f67dd38e5af7a92efd5c514386f07cb8cf4905a238,0.05
stochastic_pendulum_swing_up,SAC,8,39.787346749606456,1.0,1.0,0.0,1.0,44.35,100000,0,887,bfadc2470fb7d7154ecd95b0000e4b64a8d49c1b97382be748ba8b41a9efb677,75ad10c152f70c1eacb210d554aebb156f077042fe3469d03d83f509405dc4bb,0.05
stochastic_continuous_point_mass,SMoSE,8,9.955261399445629,1.0,1.0,0.0,1.0,17.85,100000,0,357,f8de34dd5bee4a54c411f612de03702a7a5ad631b91ee0ad4f17d1121d908845,842c9e62528c534de665044539b81f9f755f67aaadf1a08365aa52612558f6c8,0.05
stochastic_continuous_point_mass,SAC,8,8.405775461245668,1.0,1.0,0.0,1.0,15.35,100000,0,307,f8de34dd5bee4a54c411f612de03702a7a5ad631b91ee0ad4f17d1121d908845,6d2b4bb43036af21a07844936a16d9e94aa5174c04241fe5a1b4ba764795dd4c,0.05
stochastic_continuous_double_integrator_parking,SMoSE,8,3.2261795925186525,1.0,1.0,0.0,1.0,11.25,100000,0,225,5f07dcfbc871729c66eb10e48ee202deccf48ce1f7e1b1c5816b9c1af1a3c566,6b921e49a85dfeac03413db700b26ffedd280cef7f89abe2cd2980a05153b406,0.05
stochastic_continuous_double_integrator_parking,SAC,8,3.195147698415164,1.0,1.0,0.0,1.0,10.4,100000,0,208,5f07dcfbc871729c66eb10e48ee202deccf48ce1f7e1b1c5816b9c1af1a3c566,5bf1d7c53f4a31ec7a149f311dbc590d87fa4e086107694faa60255ba6b1c915,0.05
stochastic_continuous_braking_car,SMoSE,9,24.207275373029674,0.8,0.8,0.2,0.8,1.2,100000,0,24,989fbd3a7514e09e7265161fb50a3dcd8dc3ffd9e5af9b74966ae87b4fe5a7ce,ad9aa147b6274ffa15d012cbec0577c0bf4179f7ec8e62d5e8f45bfff3d5c721,0.05
stochastic_continuous_braking_car,SAC,9,23.35942967925903,0.8,0.8,0.2,0.8,1.35,100000,0,27,989fbd3a7514e09e7265161fb50a3dcd8dc3ffd9e5af9b74966ae87b4fe5a7ce,78a78eb46c31f9a5ac25f435a2604c7eceeb49827b5be89f8ca9421b82411a78,0.05
stochastic_pendulum_swing_up,SMoSE,9,73.3240474435015,1.0,1.0,0.0,1.0,58.35,100000,0,1167,1b5e3646108e8592900433f65ff63b82624a6ed3b65ae23557c1c3724dd67894,4086e9a2cbe02cfd6500e9537de53ddffbe12db22e14d72e7befda7ae94747c9,0.05
stochastic_pendulum_swing_up,SAC,9,73.47647202378761,0.45,0.45,0.0,0.45,93.65,100000,0,1873,1b5e3646108e8592900433f65ff63b82624a6ed3b65ae23557c1c3724dd67894,3d1d87ef95a05f021e7ab234959df61b9cb59d828dc3ba06c567cf8d7461a778,0.05
stochastic_continuous_point_mass,SMoSE,9,8.811416788863031,1.0,1.0,0.0,1.0,16.0,100000,0,320,931e1ea60057076a31a3aea1e898f2042d31304a0efd2c19cae4e74717c6723c,4497f11114503b3436c7277c299d30516322ba74138f86afce61401d3001ce02,0.05
stochastic_continuous_point_mass,SAC,9,8.196346134621521,1.0,1.0,0.0,1.0,15.0,100000,0,300,931e1ea60057076a31a3aea1e898f2042d31304a0efd2c19cae4e74717c6723c,de5f4db60a440f5ab9eb368eb82c804f29fe1164218c9967e04fa858fbd59333,0.05
stochastic_continuous_double_integrator_parking,SMoSE,9,5.7279164317825,1.0,1.0,0.0,1.0,12.15,100000,0,243,39f7f17a83fb85136e9600bb21edf056bca86f141b5fb50e284bae0a0a39b146,0b52152bd5b20c5234998fe5ba73b26778b757a2b70dce1dd3465b83435040fa,0.05
stochastic_continuous_double_integrator_parking,SAC,9,5.7110546042587425,1.0,1.0,0.0,1.0,11.9,100000,0,238,39f7f17a83fb85136e9600bb21edf056bca86f141b5fb50e284bae0a0a39b146,88c210d8d7b240b4ebe097e0172ad841f2ee9735f2360945b04f49159dcc7c71,0.05
